date,port_ret
2014-04-22,0.012486023318437012
2014-04-23,-0.009846426224552979
2014-04-24,-0.004663183530655868
2014-04-25,-0.018658884199870468
2014-04-28,-0.013449203847588298
2014-04-29,0.0024835477545828433
2014-04-30,-0.004809422527018242
2014-05-01,-0.003224123670227702
2014-05-02,-0.002922998442003444
2014-05-05,0.0028419403139341437
2014-05-06,0.0036552042466710954
2014-05-07,0.0010855954351021158
2014-05-08,0.005978844932131078
2014-05-09,0.0011153642486091964
2014-05-12,0.015808766360391274
2014-05-13,-0.003695010386138703
2014-05-14,0.0013556703244747559
2014-05-15,0.00015642812791394345
2014-05-16,-0.006758470519242554
2014-05-19,0.011407512850702795
2014-05-20,-0.006629237234520247
2014-05-21,-0.0016550354874229622
2014-05-22,-0.002106340975581683
2014-05-23,0.00014135246855512262
2014-05-27,0.007401204999387123
2014-05-28,0.003838426748127649
2014-05-29,-0.001299299078046906
2014-05-30,-0.0016490647110770085
2014-06-02,0.0026399925748977204
2014-06-03,0.0007851120897708341
2014-06-04,0.0026866907757349123
2014-06-05,-0.013997818859397076
2014-06-06,-0.006270342126855677
2014-06-09,0.003241016236102623
2014-06-10,0.006964553806221352
2014-06-11,0.003923596783379862
2014-06-12,0.003816313254881659
2014-06-13,0.0011726813044944662
2014-06-16,0.0001268562066286949
2014-06-17,0.002363907979887614
2014-06-18,-0.002455703154180977
2014-06-19,-0.0015619162412849608
2014-06-20,0.0009854128896291114
2014-06-23,-0.0005951411001525186
2014-06-24,0.003124637535335928
2014-06-25,0.00611309256689746
2014-06-26,-0.000965337639296876
2014-06-27,0.0022725544001641618
2014-06-30,0.0022285309222529193
2014-07-01,-0.002360417561086736
2014-07-02,-0.008076124709379656
2014-07-03,-0.0031315953674493358
2014-07-07,-0.0034985500775519263
2014-07-08,-0.005546188454325807
2014-07-09,0.008150085899511994
2014-07-10,4.3726102018415425e-05
2014-07-11,-0.00636633772264214
2014-07-14,0.0019496089443037934
2014-07-15,-0.0008473784862721712
2014-07-16,-0.00046886713801436164
2014-07-17,-0.0011733361059020342
2014-07-18,-0.01241274383860888
